id,item,buyout,quantity,time_left,bid
309693560,"{'id': 98776, 'modifiers': [{'type': 28, 'value': 860}]}",778235300,1,SHORT,
309693796,"{'id': 98810, 'modifiers': [{'type': 28, 'value': 860}]}",824996500,1,SHORT,
309694260,"{'id': 98920, 'modifiers': [{'type': 28, 'value': 860}]}",738481000,1,SHORT,
309708157,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 98522}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3131}",10000000,1,SHORT,
309708354,"{'id': 11611, 'modifiers': [{'type': 28, 'value': 201}]}",1234600,1,SHORT,
309708535,"{'id': 217121, 'context': 13, 'bonus_lists': [11318, 10837, 10832, 9626, 10840], 'modifiers': [{'type': 28, 'value': 2734}, {'type': 29, 'value': 40}, {'type': 30, 'value': 32}, {'type': 38, 'value': 7}, {'type': 39, 'value': 50722}, {'type': 40, 'value': 1292}, {'type': 42, 'value': 231}, {'type': 43, 'value': 210221}]}",24000000,1,SHORT,
309708723,"{'id': 217124, 'context': 13, 'bonus_lists': [11318, 10837, 10833, 9627, 10840], 'modifiers': [{'type': 28, 'value': 2734}, {'type': 29, 'value': 32}, {'type': 30, 'value': 40}, {'type': 38, 'value': 8}, {'type': 39, 'value': 50719}, {'type': 40, 'value': 1295}, {'type': 42, 'value': 246}, {'type': 43, 'value': 210221}]}",22221600,1,SHORT,
309709500,"{'id': 224592, 'context': 26, 'bonus_lists': [11943, 10394, 10392, 1749, 10844, 1527], 'modifiers': [{'type': 28, 'value': 2462}]}",140000000,1,SHORT,
309753842,"{'id': 77533, 'modifiers': [{'type': 28, 'value': 860}]}",194948200,1,SHORT,192998700.0
309753862,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 75381}], 'pet_breed_id': 22, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2425}",191391200,1,SHORT,181821600.0
309753883,"{'id': 20538, 'modifiers': [{'type': 28, 'value': 1418}]}",225602200,1,SHORT,223346200.0
309753911,"{'id': 69954, 'modifiers': [{'type': 28, 'value': 1410}]}",188405800,1,SHORT,186521700.0
309753927,"{'id': 10588, 'context': 1, 'modifiers': [{'type': 28, 'value': 1418}]}",507590400,1,SHORT,502514500.0
309753949,{'id': 207556},1990000000,1,SHORT,1970100000.0
309753963,"{'id': 23537, 'modifiers': [{'type': 28, 'value': 1735}]}",1404056600,1,SHORT,1390016000.0
309753991,"{'id': 18506, 'modifiers': [{'type': 28, 'value': 1418}]}",328035200,1,SHORT,324754800.0
309754018,"{'id': 4393, 'context': 1, 'modifiers': [{'type': 28, 'value': 1418}]}",29154600,1,SHORT,28863100.0
309754037,"{'id': 59455, 'modifiers': [{'type': 28, 'value': 1410}]}",190505300,1,SHORT,188600200.0
309754063,{'id': 206582},577813200,1,SHORT,572035100.0
309754082,"{'id': 71077, 'modifiers': [{'type': 28, 'value': 1410}]}",6396511400,1,SHORT,6332546300.0
309754104,"{'id': 138790, 'context': 13}",9998000,1,SHORT,9898000.0
309754124,"{'id': 49893, 'modifiers': [{'type': 28, 'value': 1734}]}",473572800,1,SHORT,468837100.0
309754145,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 84857}], 'pet_breed_id': 17, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2412}",239980600,1,SHORT,227981600.0
309754166,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 84863}], 'pet_breed_id': 10, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2413}",199980000,1,SHORT,189981000.0
309754182,"{'id': 172324, 'context': 63, 'bonus_lists': [6716, 8156, 1487], 'modifiers': [{'type': 28, 'value': 2142}]}",56169900,1,SHORT,55608200.0
309754199,"{'id': 14138, 'modifiers': [{'type': 28, 'value': 1418}]}",142659500,1,SHORT,141232900.0
309754225,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 81058}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2424}",231698400,1,SHORT,220113500.0
309754242,{'id': 203800},314296400,1,SHORT,311153400.0
309754266,"{'id': 77539, 'modifiers': [{'type': 28, 'value': 860}]}",273893000,1,SHORT,271154100.0
309754284,{'id': 207565},1990000000,1,SHORT,1970100000.0
309754307,"{'id': 82800, 'modifiers': [{'type': 6, 'value': 69092}], 'pet_breed_id': 12, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2408}",251693000,1,SHORT,239108400.0
309754328,"{'id': 7189, 'context': 1}",561090300,1,SHORT,555479400.0
309754344,"{'id': 59359, 'modifiers': [{'type': 28, 'value': 1410}]}",659990000,1,SHORT,653390100.0
309754368,"{'id': 172319, 'context': 63, 'bonus_lists': [6716, 8156, 1487], 'modifiers': [{'type': 28, 'value': 2142}]}",58331000,1,SHORT,57747700.0
309754407,"{'id': 15057, 'modifiers': [{'type': 28, 'value': 1418}]}",84086000,1,SHORT,83245100.0
